minutes_remain,minutes_played,Home_Score,Away_Score,margin,point_spread,2171.110267,2593.185633,0.122480849,0.877519151,-15
80,0,0,0,0,-15,,,,,
77,3,3,0,3,-15,,,,,
68,12,6,0,6,-15,,,,,
55,25,6,3,3,-15,,,,,
45,35,6,6,0,-15,,,,,
40,40,6,6,0,-15,,,,,
37,43,11,6,5,-15,,,,,
36,44,13,6,7,-15,,,,,
33,47,16,6,10,-15,,,,,
29,51,21,6,15,-15,,,,,
28,52,23,6,17,-15,,,,,
27,53,23,11,12,-15,,,,,
26,54,23,13,10,-15,,,,,
22,58,28,13,15,-15,,,,,
21,59,30,13,17,-15,,,,,
19,61,30,18,12,-15,,,,,
5,75,30,23,7,-15,,,,,
5,75,30,25,5,-15,,,,,
2,78,30,30,0,-15,,,,,
0,80,30,32,-2,-15,,,,,