minutes_remain,minutes_played,Home_Score,Away_Score,margin,point_spread,1927.784747,1748.166436,0.816750213,0.183249787, 
83,0,0,0,0,13.5, , ,,,
75,8,0,5,-5,13.5,,,,,
74,9,0,7,-7,13.5,,,,,
68,15,3,7,-4,13.5,,,,,
66,17,3,10,-7,13.5,,,,,
62,21,3,15,-12,13.5,,,,,
60,23,6,15,-9,13.5,,,,,
58,25,6,18,-12,13.5,,,,,
43,40,9,21,-12,13.5,,,,,
42,41,9,21,-12,13.5,,,,,
28,55,14,21,-7,13.5,,,,,
18,65,14,24,-10,13.5,,,,,
6,77,19,24,-5,13.5,,,,,
6,77,21,24,-3,13.5,,,,,
3,80,24,24,0,,,,,,
2,81,29,24,5,,,,,,
1,82,31,24,7,,,,,,