    New Zealand    ,2922,,,A,Rank,Ireland,Scotland,Japan,Russia,Samoa
      Ireland      ,2852,,,Ireland,2852,1,0.869849949,0.956529143,0.991797935,0.991064845
       Wales       ,2694,,,Scotland,2522,0.130150051,1,0.767024918,0.947623574,0.943168479
      England      ,2680,,,Japan,2235,0.043470857,0.232975082,1,0.8460451,0.834459182
    South Africa   ,2554,,,Russia,2019,0.008202065,0.052376426,0.1539549,1,0.478426667
      Scotland     ,2522,,,Samoa,2034,0.008935155,0.056831521,0.165540818,0.521573333,1
     Australia     ,2477,,,,2332.4,,,,,
        Fiji       ,2337,,,B,,New Zealand,South Africa,Italy,Namibia,Canada
       France      ,2316,,,New Zealand,2922,1,0.89267666,0.993360933,0.99664232,0.997361527
        USA        ,2266,,,South Africa,2554,0.10732334,1,0.947337126,0.972741775,0.978469831
     Argentina     ,2241,,,Italy,2052,0.006639067,0.052662874,1,0.664857979,0.716423694
       Japan       ,2235,,,Namibia,1933,0.00335768,0.027258225,0.335142021,1,0.560150145
      Georgia      ,2187,,,Canada,1891,0.002638473,0.021530169,0.283576306,0.439849855,1
       Tonga       ,2175,,,,2270.4, ,,,,
       Italy       ,2052,,,C,,England,France,Argentina,USA,Tonga
       Samoa       ,2034,,,England,2680,1,0.890450639,0.926019047,0.915535327,0.948192061
       Russia      ,2019,,,France,2316,0.109549361,1,0.606287824,0.571463117,0.692463393
      Uruguay      ,2017,,,Argentina,2241,0.073980953,0.393712176,1,0.464084073,0.593855385
      Romania      ,1953,,,USA,2266,0.084464673,0.428536883,0.535915927,1,0.628044806
      Namibia      ,1933,,,Tonga,2175,0.051807939,0.307536607,0.406144615,0.371955194,1
       Canada      ,1891,,,,2335.6, ,,,,
,,,,D,,Australia,Wales,Georgia,Fiji,Uruguay
,,,,Australia,2477,1,0.222846895,0.841492367,0.691236152,0.933885939
,,,,Wales,2694,0.777153105,1,0.948754711,0.886457624,0.980103713
,,,,Georgia,2187,0.158507633,0.051245289,1,0.296614997,0.726830072
,,,,Fiji,2337,0.308763848,0.113542376,0.703385003,1,0.863193111
,,,,Uruguay,2017,0.066114061,0.019896287,0.273169928,0.136806889,1
,,,,,2342.4,,,,,